"consumption","SMI","unemployment_proxy","electricity","mobility","net_bankruptcies","air_pollution","c19_cases","stringency"
229488066.963971,10699.82,150705,163.204179715722,0,47.313233616754,21.7,6.85417785217657,0
231125491.646976,10699.82,150705,164.041925981655,0,51.7194323805288,22.833333335,5.97968046571061,0
232749347.154884,10699.82,150705,164.877940789566,0,56.120899820942,30.566666665,5.10449766145943,0
234345263.591534,10699.82,150705,165.709703787196,0,60.5077326713938,42.05,4.22734605359122,0
235912246.425651,10699.82,150705,166.534333850656,0,64.8667155753019,44.38333333,3.34643180650804,0
237455946.167298,10665.41,150705,167.347401085738,0,69.1785824028173,32.133333335,2.45953835000663,0
238968988.201796,10686.8,149954,168.14250408694,0,73.4175803525335,36.95,1.56411447070294,0
240447678.243851,10652.16,149954,168.914243701341,0,77.5579387648042,34.266666665,0.657363001378072,0
241891781.108948,10650.97,150790,169.658521390741,0,81.5701452219468,46.86666667,-0.263669636633955,0
243304028.504546,10639.49,151256,170.372582252841,0,85.4357315124021,53.683333335,-1.20200275830033,0
244689457.302896,10639.49,151476,171.054586990601,0,89.1468724100908,42.06666667,-2.16062931162254,0
246060195.245196,10639.49,151222,171.703262657527,0,92.70229911578,39.016666665,-3.14242204432724,0
247435350.611516,10622.41,151149,172.316027977737,0,96.0918281429981,39.116666665,-4.15003764120986,0
248819142.685599,10655.82,151494,172.88837614853,0,99.2960057753617,47.15,-5.18581854486132,0
250213732.812129,10670.74,151998,173.416908085091,0,102.302869113671,54.566666665,-6.25169219410859,0
251618801.05942,10693.52,152395,173.899329711467,0,105.110425658148,51.233333335,-7.34906744592444,0
253032245.499406,10841.82,152853,174.334013127868,0,107.724552622105,47.75,-8.47872798806173,0
254450396.531414,10841.82,153256,174.719950234093,0,110.15781617629,47.433333335,-9.64072260152913,0
255872494.207821,10841.82,153114,175.057058197237,0,112.423710036186,43.61666667,-10.8342521945361,0
257302787.382751,10846.29,153067,175.343881833304,0,114.52471213566,41.083333335,-12.0575536030322,0
258729213.242109,10884.51,153384,175.577251634086,0,116.452058037576,36.16666667,-13.3077802377473,0
260135805.91656,10895.07,153782,175.755440409621,0,118.204330833581,27.883333335,-14.5808797540514,0
261502342.688744,10813.94,154083,175.878530302508,0,119.785568409524,27.9666666665,-15.8714690292902,0
262805553.74571,10849.75,154056,175.948372721199,0,121.208188218163,27.7000000015,-17.1727068528345,0
264020214.195939,10849.75,154375,175.96883582024,0,122.487429155422,27.91666667,-18.4761648671517,0
265135346.408237,10849.75,154475,175.945304268793,0,123.6405092984,30.85,-19.7716974440243,0
266151492.600691,10675.96,154444,175.88225492531,0,124.672397981282,46.7,-21.0473113387478,0
267055011.054446,10781.98,154806,175.782122489145,0,125.575700487322,48.83333333,-22.2890361368736,0
267838575.378987,10859.88,155170,175.647792910158,0,126.350854859975,52.25,-23.4807966928188,0
268497148.977695,10748.92,155386,175.483137293011,0,127.005341572649,44.25,-24.6042889573871,0
269028815.304411,10627.88,153259,175.293118752617,0,127.549906013265,42,-25.6388608017127,0
269436099.74988,10627.88,153081,175.083362672108,0,127.999293035588,39.91666667,-26.5613996680347,0
269732013.204016,10627.88,152925,174.859369074529,0,128.37069250278,39.416666665,-27.3462291125118,0
269940007.810657,10664.95,153006,174.62441990131,0,128.6684943487,39.36666667,-27.9650165513343,0
270067882.484723,10800.64,153141,174.378614232144,0,128.884251437957,44.116666665,-28.3866947777822,0
270125438.099951,10994.15,153234,174.121538419862,0,129.017149785726,48.65,-28.5774000834854,0
270122935.637531,11012.36,153484,173.853386561935,0,129.073786982036,46.066666665,-28.5004300905972,0
270073212.882442,11001.53,153582,173.575374836687,0,129.06325890194,44.383333335,-28.1162246812489,0
269991420.823796,11001.53,153442,173.29014613145,0,129.00195404179,49.216666665,-27.3823736945683,0
269899549.464323,11001.53,153393,173.001402390551,0,128.905454572049,51.183333335,-26.2536553472176,0
269824848.313366,11039.78,153461,172.711620687232,0,128.776442467778,45.933333335,-24.6821096184902,0
269778134.690624,11101.17,153625,172.42070020941,0,128.604709158577,48.016666665,-22.6171511221429,0
269765969.050762,11089.24,153767,172.128117677559,0,128.386768429802,50.06666667,-20.0057262609732,0
